region	chr	midPos	Nsites
(6292,6791)(6300,6799)(6300,6800)	Mt	6550	501	0.089906
(6392,6891)(6400,6899)(6400,6900)	Mt	6650	501	0.100512
(6492,6991)(6500,6999)(6500,7000)	Mt	6750	501	0.111036
(6592,7091)(6600,7099)(6600,7100)	Mt	6850	501	0.113237
(6692,7191)(6700,7199)(6700,7200)	Mt	6950	501	0.104673
(6792,7291)(6800,7299)(6800,7300)	Mt	7050	501	0.118246
(6892,7391)(6900,7399)(6900,7400)	Mt	7150	501	0.114618
(6992,7491)(7000,7499)(7000,7500)	Mt	7250	501	0.107976
(7092,7591)(7100,7599)(7100,7600)	Mt	7350	501	0.105399
(7192,7691)(7200,7699)(7200,7700)	Mt	7450	501	0.112894
(7292,7791)(7300,7799)(7300,7800)	Mt	7550	501	0.105275
(7392,7891)(7400,7899)(7400,7900)	Mt	7650	501	0.105824
(7492,7991)(7500,7999)(7500,8000)	Mt	7750	501	0.109972
(7592,8091)(7600,8099)(7600,8100)	Mt	7850	501	0.109361
(7692,8191)(7700,8199)(7700,8200)	Mt	7950	501	0.111299
(7792,8291)(7800,8299)(7800,8300)	Mt	8050	501	0.110377
(7892,8391)(7900,8399)(7900,8400)	Mt	8150	501	0.106456
(7992,8491)(8000,8499)(8000,8500)	Mt	8250	501	0.102516
(8092,8591)(8100,8599)(8100,8600)	Mt	8350	501	0.108079
(8192,8691)(8200,8699)(8200,8700)	Mt	8450	501	0.105986
(8292,8791)(8300,8799)(8300,8800)	Mt	8550	501	0.103580
(8392,8891)(8400,8899)(8400,8900)	Mt	8650	501	0.116262
(8492,8991)(8500,8999)(8500,9000)	Mt	8750	501	0.114023
(8592,9091)(8600,9099)(8600,9100)	Mt	8850	501	0.112707
(8692,9191)(8700,9199)(8700,9200)	Mt	8950	501	0.111327
(8792,9291)(8800,9299)(8800,9300)	Mt	9050	501	0.116659
(8892,9391)(8900,9399)(8900,9400)	Mt	9150	501	0.109327
(8992,9491)(9000,9499)(9000,9500)	Mt	9250	501	0.114636
(9092,9591)(9100,9599)(9100,9600)	Mt	9350	501	0.105134
(9192,9691)(9200,9699)(9200,9700)	Mt	9450	501	0.113671
(9292,9791)(9300,9799)(9300,9800)	Mt	9550	501	0.107151
(9392,9891)(9400,9899)(9400,9900)	Mt	9650	501	0.106186
(9492,9991)(9500,9999)(9500,10000)	Mt	9750	501	0.094915
(9592,10091)(9600,10099)(9600,10100)	Mt	9850	501	0.096927
(9692,10191)(9700,10199)(9700,10200)	Mt	9950	501	0.089846
(9792,10291)(9800,10299)(9800,10300)	Mt	10050	501	0.104294
(9892,10391)(9900,10399)(9900,10400)	Mt	10150	501	0.099372
(9992,10491)(10000,10499)(10000,10500)	Mt	10250	501	0.105175
(10092,10591)(10100,10599)(10100,10600)	Mt	10350	501	0.113414
(10192,10691)(10200,10699)(10200,10700)	Mt	10450	501	0.112414
(10292,10791)(10300,10799)(10300,10800)	Mt	10550	501	0.096133
(10392,10891)(10400,10899)(10400,10900)	Mt	10650	501	0.104095
(10492,10991)(10500,10999)(10500,11000)	Mt	10750	501	0.107257
(10592,11091)(10600,11099)(10600,11100)	Mt	10850	501	0.104165
(10692,11191)(10700,11199)(10700,11200)	Mt	10950	501	0.105495
(10792,11291)(10800,11299)(10800,11300)	Mt	11050	501	0.110774
(10892,11391)(10900,11399)(10900,11400)	Mt	11150	501	0.110173
(10992,11491)(11000,11499)(11000,11500)	Mt	11250	501	0.105266
(11092,11591)(11100,11599)(11100,11600)	Mt	11350	501	0.105274
(11192,11691)(11200,11699)(11200,11700)	Mt	11450	501	0.106069
(11292,11791)(11300,11799)(11300,11800)	Mt	11550	501	0.111039
(11392,11891)(11400,11899)(11400,11900)	Mt	11650	501	0.105636
(11492,11991)(11500,11999)(11500,12000)	Mt	11750	501	0.104530
(11592,12091)(11600,12099)(11600,12100)	Mt	11850	501	0.100505
(11692,12191)(11700,12199)(11700,12200)	Mt	11950	501	0.097498
(11792,12291)(11800,12299)(11800,12300)	Mt	12050	501	0.093144
(11892,12391)(11900,12399)(11900,12400)	Mt	12150	501	0.095987
(11992,12491)(12000,12499)(12000,12500)	Mt	12250	501	0.099499
(12092,12591)(12100,12599)(12100,12600)	Mt	12350	501	0.097864
(12192,12691)(12200,12699)(12200,12700)	Mt	12450	501	0.100509
(12292,12791)(12300,12799)(12300,12800)	Mt	12550	501	0.094673
(12392,12891)(12400,12899)(12400,12900)	Mt	12650	501	0.094850
(12492,12991)(12500,12999)(12500,13000)	Mt	12750	501	0.094475
(12592,13091)(12600,13099)(12600,13100)	Mt	12850	501	0.098359
(12692,13191)(12700,13199)(12700,13200)	Mt	12950	501	0.106854
(12792,13291)(12800,13299)(12800,13300)	Mt	13050	501	0.117515
(12892,13391)(12900,13399)(12900,13400)	Mt	13150	501	0.123362
(12992,13491)(13000,13499)(13000,13500)	Mt	13250	501	0.119800
(13092,13591)(13100,13599)(13100,13600)	Mt	13350	501	0.116366
(13192,13691)(13200,13699)(13200,13700)	Mt	13450	501	0.110296
(13292,13791)(13300,13799)(13300,13800)	Mt	13550	501	0.106894
(13392,13891)(13400,13899)(13400,13900)	Mt	13650	501	0.097684
(13492,13991)(13500,13999)(13500,14000)	Mt	13750	501	0.104290
(13592,14091)(13600,14099)(13600,14100)	Mt	13850	501	0.107014
(13692,14191)(13700,14199)(13700,14200)	Mt	13950	501	0.110670
(13792,14291)(13800,14299)(13800,14300)	Mt	14050	501	0.120409
(13892,14391)(13900,14399)(13900,14400)	Mt	14150	501	0.128314
(13992,14491)(14000,14499)(14000,14500)	Mt	14250	501	0.134822
(14092,14591)(14100,14599)(14100,14600)	Mt	14350	501	0.144027
(14192,14691)(14200,14699)(14200,14700)	Mt	14450	501	0.138187
(14292,14791)(14300,14799)(14300,14800)	Mt	14550	501	0.128779
(14392,14891)(14400,14899)(14400,14900)	Mt	14650	501	0.119609
(14492,14991)(14500,14999)(14500,15000)	Mt	14750	501	0.110200
(14592,15091)(14600,15099)(14600,15100)	Mt	14850	501	0.109047
(14692,15191)(14700,15199)(14700,15200)	Mt	14950	501	0.110128
(14792,15291)(14800,15299)(14800,15300)	Mt	15050	501	0.105879
(14892,15391)(14900,15399)(14900,15400)	Mt	15150	501	0.107467
(14992,15491)(15000,15499)(15000,15500)	Mt	15250	501	0.114827
(15092,15591)(15100,15599)(15100,15600)	Mt	15350	501	0.110974
(15192,15691)(15200,15699)(15200,15700)	Mt	15450	501	0.109787
(15292,15791)(15300,15799)(15300,15800)	Mt	15550	501	0.115154
(15392,15891)(15400,15899)(15400,15900)	Mt	15650	501	0.116657
(15492,15991)(15500,15999)(15500,16000)	Mt	15750	501	0.104617
(15592,16091)(15600,16099)(15600,16100)	Mt	15850	501	0.105908
(15692,16191)(15700,16199)(15700,16200)	Mt	15950	501	0.103039
(15792,16291)(15800,16299)(15800,16300)	Mt	16050	501	0.100601
(15892,16391)(15900,16399)(15900,16400)	Mt	16150	501	0.095350
(15992,16491)(16000,16499)(16000,16500)	Mt	16250	501	0.104143
(16092,16591)(16100,16599)(16100,16600)	Mt	16350	501	0.100967
(16192,16691)(16200,16699)(16200,16700)	Mt	16450	501	0.103839
(16292,16791)(16300,16799)(16300,16800)	Mt	16550	501	0.105208
(16392,16891)(16400,16899)(16400,16900)	Mt	16650	501	0.116113
(16492,16991)(16500,16999)(16500,17000)	Mt	16750	501	0.120344
(16592,17091)(16600,17099)(16600,17100)	Mt	16850	501	0.120009
(16692,17191)(16700,17199)(16700,17200)	Mt	16950	501	0.128371
(16792,17291)(16800,17299)(16800,17300)	Mt	17050	501	0.128147
(16892,17391)(16900,17399)(16900,17400)	Mt	17150	501	0.124258
(16992,17491)(17000,17499)(17000,17500)	Mt	17250	501	0.109455
(17092,17591)(17100,17599)(17100,17600)	Mt	17350	501	0.109594
(17192,17691)(17200,17699)(17200,17700)	Mt	17450	501	0.104816
(17292,17791)(17300,17799)(17300,17800)	Mt	17550	501	0.112019
(17392,17891)(17400,17899)(17400,17900)	Mt	17650	501	0.108853
(17492,17991)(17500,17999)(17500,18000)	Mt	17750	501	0.117875
(17592,18091)(17600,18099)(17600,18100)	Mt	17850	501	0.122197
(17692,18191)(17700,18199)(17700,18200)	Mt	17950	501	0.119697
(17792,18291)(17800,18299)(17800,18300)	Mt	18050	501	0.121725
(17892,18391)(17900,18399)(17900,18400)	Mt	18150	501	0.127036
(17992,18491)(18000,18499)(18000,18500)	Mt	18250	501	0.124673
(18092,18591)(18100,18599)(18100,18600)	Mt	18350	501	0.119210
(18192,18691)(18200,18699)(18200,18700)	Mt	18450	501	0.118836
(18292,18791)(18300,18799)(18300,18800)	Mt	18550	501	0.112797
(18392,18891)(18400,18899)(18400,18900)	Mt	18650	501	0.111009
(18492,18991)(18500,18999)(18500,19000)	Mt	18750	501	0.103598
(18592,19091)(18600,19099)(18600,19100)	Mt	18850	501	0.097487
(18692,19191)(18700,19199)(18700,19200)	Mt	18950	501	0.090758
(18792,19291)(18800,19299)(18800,19300)	Mt	19050	501	0.083074
(18892,19391)(18900,19399)(18900,19400)	Mt	19150	501	0.082536
(18992,19491)(19000,19499)(19000,19500)	Mt	19250	501	0.089006
(19092,19591)(19100,19599)(19100,19600)	Mt	19350	501	0.092070
(19192,19691)(19200,19699)(19200,19700)	Mt	19450	501	0.092199
(19292,19791)(19300,19799)(19300,19800)	Mt	19550	501	0.097079
(19392,19891)(19400,19899)(19400,19900)	Mt	19650	501	0.099763
(19492,19991)(19500,19999)(19500,20000)	Mt	19750	501	0.101183
(19592,20091)(19600,20099)(19600,20100)	Mt	19850	501	0.106740
(19692,20191)(19700,20199)(19700,20200)	Mt	19950	501	0.108002
(19792,20291)(19800,20299)(19800,20300)	Mt	20050	501	0.112030
(19892,20391)(19900,20399)(19900,20400)	Mt	20150	501	0.110363
(19992,20491)(20000,20499)(20000,20500)	Mt	20250	501	0.105860
(20092,20591)(20100,20599)(20100,20600)	Mt	20350	501	0.107648
(20192,20691)(20200,20699)(20200,20700)	Mt	20450	501	0.108260
(20292,20791)(20300,20799)(20300,20800)	Mt	20550	501	0.109188
(20392,20891)(20400,20899)(20400,20900)	Mt	20650	501	0.103785
(20492,20991)(20500,20999)(20500,21000)	Mt	20750	501	0.107477
(20592,21091)(20600,21099)(20600,21100)	Mt	20850	501	0.104437
(20692,21191)(20700,21199)(20700,21200)	Mt	20950	501	0.111335
(20792,21291)(20800,21299)(20800,21300)	Mt	21050	501	0.105949
(20892,21391)(20900,21399)(20900,21400)	Mt	21150	501	0.110018
(20992,21491)(21000,21499)(21000,21500)	Mt	21250	501	0.106410
(21092,21591)(21100,21599)(21100,21600)	Mt	21350	501	0.103232
(21192,21691)(21200,21699)(21200,21700)	Mt	21450	501	0.097714
(21292,21791)(21300,21799)(21300,21800)	Mt	21550	501	0.095644
(21392,21891)(21400,21899)(21400,21900)	Mt	21650	501	0.093220
(21492,21991)(21500,21999)(21500,22000)	Mt	21750	501	0.103991
(21592,22091)(21600,22099)(21600,22100)	Mt	21850	501	0.099294
(21692,22191)(21700,22199)(21700,22200)	Mt	21950	501	0.100334
(21792,22291)(21800,22299)(21800,22300)	Mt	22050	501	0.103734
(21892,22391)(21900,22399)(21900,22400)	Mt	22150	501	0.114551
(21992,22491)(22000,22499)(22000,22500)	Mt	22250	501	0.115102
(22092,22591)(22100,22599)(22100,22600)	Mt	22350	501	0.122678
(22192,22691)(22200,22699)(22200,22700)	Mt	22450	501	0.124252
(22292,22791)(22300,22799)(22300,22800)	Mt	22550	501	0.120538
(22392,22891)(22400,22899)(22400,22900)	Mt	22650	501	0.118487
(22492,22991)(22500,22999)(22500,23000)	Mt	22750	501	0.107657
(22592,23091)(22600,23099)(22600,23100)	Mt	22850	501	0.107878
(22692,23191)(22700,23199)(22700,23200)	Mt	22950	501	0.109945
(22792,23291)(22800,23299)(22800,23300)	Mt	23050	501	0.111495
(22892,23391)(22900,23399)(22900,23400)	Mt	23150	501	0.099611
(22992,23491)(23000,23499)(23000,23500)	Mt	23250	501	0.107425
(23092,23591)(23100,23599)(23100,23600)	Mt	23350	501	0.106293
(23192,23691)(23200,23699)(23200,23700)	Mt	23450	501	0.102927
(23292,23791)(23300,23799)(23300,23800)	Mt	23550	501	0.107872
(23392,23891)(23400,23899)(23400,23900)	Mt	23650	501	0.115439
(23492,23991)(23500,23999)(23500,24000)	Mt	23750	501	0.108516
(23592,24091)(23600,24099)(23600,24100)	Mt	23850	501	0.112755
(23692,24191)(23700,24199)(23700,24200)	Mt	23950	501	0.111612
(23792,24291)(23800,24299)(23800,24300)	Mt	24050	501	0.108116
(23892,24391)(23900,24399)(23900,24400)	Mt	24150	501	0.103145
(23992,24491)(24000,24499)(24000,24500)	Mt	24250	501	0.114441
(24092,24591)(24100,24599)(24100,24600)	Mt	24350	501	0.105143
(24192,24691)(24200,24699)(24200,24700)	Mt	24450	501	0.108495
(24292,24791)(24300,24799)(24300,24800)	Mt	24550	501	0.108047
(24392,24891)(24400,24899)(24400,24900)	Mt	24650	501	0.120575
(24492,24991)(24500,24999)(24500,25000)	Mt	24750	501	0.131017
(24592,25091)(24600,25099)(24600,25100)	Mt	24850	501	0.129212
(24692,25191)(24700,25199)(24700,25200)	Mt	24950	501	0.130708
(24792,25291)(24800,25299)(24800,25300)	Mt	25050	501	0.131303
(24892,25391)(24900,25399)(24900,25400)	Mt	25150	501	0.121546
(24992,25491)(25000,25499)(25000,25500)	Mt	25250	501	0.102812
(25092,25591)(25100,25599)(25100,25600)	Mt	25350	501	0.103407
(25192,25691)(25200,25699)(25200,25700)	Mt	25450	501	0.096724
(25292,25791)(25300,25799)(25300,25800)	Mt	25550	501	0.101584
(25392,25891)(25400,25899)(25400,25900)	Mt	25650	501	0.102184
(25492,25991)(25500,25999)(25500,26000)	Mt	25750	501	0.103347
(25592,26091)(25600,26099)(25600,26100)	Mt	25850	501	0.115062
(25692,26191)(25700,26199)(25700,26200)	Mt	25950	501	0.118561
(25792,26291)(25800,26299)(25800,26300)	Mt	26050	501	0.117413
(25892,26391)(25900,26399)(25900,26400)	Mt	26150	501	0.109574
(25992,26491)(26000,26499)(26000,26500)	Mt	26250	501	0.109991
(26092,26591)(26100,26599)(26100,26600)	Mt	26350	501	0.103884
(26192,26691)(26200,26699)(26200,26700)	Mt	26450	501	0.102215
(26292,26791)(26300,26799)(26300,26800)	Mt	26550	501	0.094912
(26392,26891)(26400,26899)(26400,26900)	Mt	26650	501	0.101902
(26492,26991)(26500,26999)(26500,27000)	Mt	26750	501	0.103612
(26592,27091)(26600,27099)(26600,27100)	Mt	26850	501	0.106899
(26692,27191)(26700,27199)(26700,27200)	Mt	26950	501	0.102879
(26792,27291)(26800,27299)(26800,27300)	Mt	27050	501	0.111424
(26892,27391)(26900,27399)(26900,27400)	Mt	27150	501	0.110335
(26992,27491)(27000,27499)(27000,27500)	Mt	27250	501	0.109736
(27092,27591)(27100,27599)(27100,27600)	Mt	27350	501	0.100328
(27192,27691)(27200,27699)(27200,27700)	Mt	27450	501	0.114447
(27292,27791)(27300,27799)(27300,27800)	Mt	27550	501	0.107743
(27392,27891)(27400,27899)(27400,27900)	Mt	27650	501	0.115510
(27492,27991)(27500,27999)(27500,28000)	Mt	27750	501	0.120641
(27592,28091)(27600,28099)(27600,28100)	Mt	27850	501	0.129646
(27692,28191)(27700,28199)(27700,28200)	Mt	27950	501	0.123912
(27792,28291)(27800,28299)(27800,28300)	Mt	28050	501	0.129233
(27892,28391)(27900,28399)(27900,28400)	Mt	28150	501	0.116775
(27992,28491)(28000,28499)(28000,28500)	Mt	28250	501	0.110003
(28092,28591)(28100,28599)(28100,28600)	Mt	28350	501	0.104196
(28192,28691)(28200,28699)(28200,28700)	Mt	28450	501	0.105617
(28292,28791)(28300,28799)(28300,28800)	Mt	28550	501	0.108081
(28392,28891)(28400,28899)(28400,28900)	Mt	28650	501	0.116137
(28492,28991)(28500,28999)(28500,29000)	Mt	28750	501	0.113858
(28592,29091)(28600,29099)(28600,29100)	Mt	28850	501	0.126120
(28692,29191)(28700,29199)(28700,29200)	Mt	28950	501	0.130303
(28792,29291)(28800,29299)(28800,29300)	Mt	29050	501	0.127982
(28892,29391)(28900,29399)(28900,29400)	Mt	29150	501	0.122990
(28992,29491)(29000,29499)(29000,29500)	Mt	29250	501	0.124948
(29092,29591)(29100,29599)(29100,29600)	Mt	29350	501	0.108991
(29192,29691)(29200,29699)(29200,29700)	Mt	29450	501	0.104719
(29292,29791)(29300,29799)(29300,29800)	Mt	29550	501	0.106458
(29392,29891)(29400,29899)(29400,29900)	Mt	29650	501	0.114346
(29492,29991)(29500,29999)(29500,30000)	Mt	29750	501	0.115892
(29592,30091)(29600,30099)(29600,30100)	Mt	29850	501	0.114414
(29692,30191)(29700,30199)(29700,30200)	Mt	29950	501	0.112193
(29792,30291)(29800,30299)(29800,30300)	Mt	30050	501	0.107270
(29892,30391)(29900,30399)(29900,30400)	Mt	30150	501	0.109398
(29992,30491)(30000,30499)(30000,30500)	Mt	30250	501	0.110864
(30092,30591)(30100,30599)(30100,30600)	Mt	30350	501	0.110038
(30192,30691)(30200,30699)(30200,30700)	Mt	30450	501	0.119179
(30292,30791)(30300,30799)(30300,30800)	Mt	30550	501	0.128896
(30392,30891)(30400,30899)(30400,30900)	Mt	30650	501	0.118146
(30492,30991)(30500,30999)(30500,31000)	Mt	30750	501	0.112781
(30592,31091)(30600,31099)(30600,31100)	Mt	30850	501	0.116371
(30692,31191)(30700,31199)(30700,31200)	Mt	30950	501	0.107549
(30792,31291)(30800,31299)(30800,31300)	Mt	31050	501	0.092137
(30892,31391)(30900,31399)(30900,31400)	Mt	31150	501	0.098587
(30992,31491)(31000,31499)(31000,31500)	Mt	31250	501	0.096139
(31092,31591)(31100,31599)(31100,31600)	Mt	31350	501	0.099672
(31192,31691)(31200,31699)(31200,31700)	Mt	31450	501	0.099691
(31292,31791)(31300,31799)(31300,31800)	Mt	31550	501	0.102635
(31392,31891)(31400,31899)(31400,31900)	Mt	31650	501	0.100500
(31492,31991)(31500,31999)(31500,32000)	Mt	31750	501	0.106780
(31592,32091)(31600,32099)(31600,32100)	Mt	31850	501	0.111905
(31692,32191)(31700,32199)(31700,32200)	Mt	31950	501	0.103715
(31792,32291)(31800,32299)(31800,32300)	Mt	32050	501	0.104095
(31892,32391)(31900,32399)(31900,32400)	Mt	32150	501	0.096813
(31992,32491)(32000,32499)(32000,32500)	Mt	32250	501	0.093641
(32092,32591)(32100,32599)(32100,32600)	Mt	32350	501	0.092627
(32192,32691)(32200,32699)(32200,32700)	Mt	32450	501	0.098443
(32292,32791)(32300,32799)(32300,32800)	Mt	32550	501	0.095860
(32392,32891)(32400,32899)(32400,32900)	Mt	32650	501	0.106504
(32492,32991)(32500,32999)(32500,33000)	Mt	32750	501	0.114099
(32592,33091)(32600,33099)(32600,33100)	Mt	32850	501	0.113160
(32692,33191)(32700,33199)(32700,33200)	Mt	32950	501	0.111132
(32792,33291)(32800,33299)(32800,33300)	Mt	33050	501	0.108168
(32892,33391)(32900,33399)(32900,33400)	Mt	33150	501	0.102218
(32992,33491)(33000,33499)(33000,33500)	Mt	33250	501	0.090255
(33092,33591)(33100,33599)(33100,33600)	Mt	33350	501	0.087499
(33192,33691)(33200,33699)(33200,33700)	Mt	33450	501	0.088918
(33292,33791)(33300,33799)(33300,33800)	Mt	33550	501	0.091774
(33392,33891)(33400,33899)(33400,33900)	Mt	33650	501	0.102261
(33492,33991)(33500,33999)(33500,34000)	Mt	33750	501	0.105888
(33592,34091)(33600,34099)(33600,34100)	Mt	33850	501	0.106596
(33692,34191)(33700,34199)(33700,34200)	Mt	33950	501	0.110609
(33792,34291)(33800,34299)(33800,34300)	Mt	34050	501	0.107519
(33892,34391)(33900,34399)(33900,34400)	Mt	34150	501	0.106984
(33992,34491)(34000,34499)(34000,34500)	Mt	34250	501	0.107314
(34092,34591)(34100,34599)(34100,34600)	Mt	34350	501	0.104088
(34192,34691)(34200,34699)(34200,34700)	Mt	34450	501	0.094641
(34292,34791)(34300,34799)(34300,34800)	Mt	34550	501	0.104009
(34392,34891)(34400,34899)(34400,34900)	Mt	34650	501	0.091340
(34492,34991)(34500,34999)(34500,35000)	Mt	34750	501	0.091647
(34592,35091)(34600,35099)(34600,35100)	Mt	34850	501	0.099057
(34692,35191)(34700,35199)(34700,35200)	Mt	34950	501	0.105820
(34792,35291)(34800,35299)(34800,35300)	Mt	35050	501	0.102875
(34892,35391)(34900,35399)(34900,35400)	Mt	35150	501	0.108239
(34992,35491)(35000,35499)(35000,35500)	Mt	35250	501	0.107299
(35092,35591)(35100,35599)(35100,35600)	Mt	35350	501	0.097040
(35192,35691)(35200,35699)(35200,35700)	Mt	35450	501	0.093388
(35292,35791)(35300,35799)(35300,35800)	Mt	35550	501	0.089924
(35392,35891)(35400,35899)(35400,35900)	Mt	35650	501	0.094251
(35492,35991)(35500,35999)(35500,36000)	Mt	35750	501	0.098160
(35592,36091)(35600,36099)(35600,36100)	Mt	35850	501	0.101286
(35692,36191)(35700,36199)(35700,36200)	Mt	35950	501	0.104801
(35792,36291)(35800,36299)(35800,36300)	Mt	36050	501	0.113752
(35892,36391)(35900,36399)(35900,36400)	Mt	36150	501	0.106777
(35992,36491)(36000,36499)(36000,36500)	Mt	36250	501	0.110877
(36092,36591)(36100,36599)(36100,36600)	Mt	36350	501	0.120148
(36192,36691)(36200,36699)(36200,36700)	Mt	36450	501	0.120013
(36292,36791)(36300,36799)(36300,36800)	Mt	36550	501	0.114342
(36392,36891)(36400,36899)(36400,36900)	Mt	36650	501	0.117436
(36492,36991)(36500,36999)(36500,37000)	Mt	36750	501	0.114451
(36592,37091)(36600,37099)(36600,37100)	Mt	36850	501	0.110154
(36692,37191)(36700,37199)(36700,37200)	Mt	36950	501	0.105256
(36792,37291)(36800,37299)(36800,37300)	Mt	37050	501	0.105438
(36892,37391)(36900,37399)(36900,37400)	Mt	37150	501	0.109377
(36992,37491)(37000,37499)(37000,37500)	Mt	37250	501	0.113895
(37092,37591)(37100,37599)(37100,37600)	Mt	37350	501	0.107681
(37192,37691)(37200,37699)(37200,37700)	Mt	37450	501	0.110441
(37292,37791)(37300,37799)(37300,37800)	Mt	37550	501	0.107685
(37392,37891)(37400,37899)(37400,37900)	Mt	37650	501	0.097479
(37492,37991)(37500,37999)(37500,38000)	Mt	37750	501	0.094127
(37592,38091)(37600,38099)(37600,38100)	Mt	37850	501	0.102324
(37692,38191)(37700,38199)(37700,38200)	Mt	37950	501	0.113449
(37792,38291)(37800,38299)(37800,38300)	Mt	38050	501	0.117634
(37892,38391)(37900,38399)(37900,38400)	Mt	38150	501	0.124879
(37992,38491)(38000,38499)(38000,38500)	Mt	38250	501	0.111110
(38092,38591)(38100,38599)(38100,38600)	Mt	38350	501	0.106725
(38192,38691)(38200,38699)(38200,38700)	Mt	38450	501	0.100132
(38292,38791)(38300,38799)(38300,38800)	Mt	38550	501	0.094367
(38392,38891)(38400,38899)(38400,38900)	Mt	38650	501	0.091134
(38492,38991)(38500,38999)(38500,39000)	Mt	38750	501	0.102841
(38592,39091)(38600,39099)(38600,39100)	Mt	38850	501	0.107845
(38692,39191)(38700,39199)(38700,39200)	Mt	38950	501	0.108610
(38792,39291)(38800,39299)(38800,39300)	Mt	39050	501	0.111196
(38892,39391)(38900,39399)(38900,39400)	Mt	39150	501	0.109869
